"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"OPD_J","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine",2017,2018,"Laboratory"
"FR_J","Flame Retardants - Urine",2017,2018,"Laboratory"
"SSTROP_A","High-sensitivity cardiac troponins (Surplus)",1999,2004,"Laboratory"
"UCOT_J","Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine",2017,2018,"Laboratory"
"VID_J","Vitamin D",2017,2018,"Laboratory"
"P_TFR","Transferrin Receptor",2017,2020,"Laboratory"
"PERNT_J","Perchlorate, Nitrate & Thiocyanate - Urine",2017,2018,"Laboratory"
"P_COT","Cotinine and Hydroxycotinine - Serum",2017,2020,"Laboratory"
"FFMR_K_R","Folate Forms - Total & Individual – Washed RBCs",2019,2020,"Laboratory"
"UVOC_J","Volatile Organic Compound (VOC) Metabolites - Urine",2017,2018,"Laboratory"
"SSAGP_I","Alpha-1-Acid Glycoprotein - Serum (Surplus)",2015,2016,"Laboratory"
"P_HEPA","Hepatitis A",2017,2020,"Laboratory"
"P_HEPB_S","Hepatitis B Surface Antibody",2017,2020,"Laboratory"
"P_HEPC","Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype",2017,2020,"Laboratory"
"P_HEPE","Hepatitis E: IgG & IgM Antibodies",2017,2020,"Laboratory"
"HPVN_D_R","Human Papillomavirus (HPV) - 6, 11, 16, 18, 31, 33, 45, 52, & 58 Antibody - Serum: M9ELISA",2005,2006,"Laboratory"
"P_UVOC","Volatile Organic Compound (VOC) Metabolites - Urine",2017,2020,"Laboratory"
"P_HEPBD","Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody",2017,2020,"Laboratory"
"SSUVOC_J","Volatile Organic Compound (VOC) Metabolites II - Urine (Surplus)",2017,2018,"Laboratory"
"P_UVOC2","Volatile Organic Compound (VOC) Metabolites II - Urine",2017,2020,"Laboratory"
"UFLDE_I","Fluoride - Urine",2015,2016,"Laboratory"
"SSCLTY_I","Chlorinated Tyrosine – Serum (Surplus)",2015,2016,"Laboratory"
"SSGLYP_I","Glyphosate (GLYP) - Urine (Surplus)",2015,2016,"Laboratory"
"ETHOX_J","Ethylene Oxide",2017,2018,"Laboratory"
"P_ETHOX","Ethylene Oxide",2017,2020,"Laboratory"
"U1FL_H_R","Fluoride- 24-Hour Urine - First Collection",2014,2014,"Laboratory"
"U2FL_H_R","Fluoride- 24-Hour Urine - Second Collection",2014,2014,"Laboratory"
